id,name,use case id,AI Solution step,description,candidate ABBs,Primary Pattern ID,Primary Pattern Name,2025 Enhancement
120,Supplier Risk Scoring,18,5,Supplier risk scoring using predictive models,"Risk Scoring, Supplier Assessment, Predictive Models",PT-009,Real-Time ML Scoring Pattern,Real-time supplier risk scoring. Feature Store (PT-003) for supplier risk features.
121,OCR Invoice Matching,18,6,OCR and automated invoice matching (3-way match),"OCR Service, Invoice Processing, 3-way Match Logic",PT-011,Intelligent Document Processing (IDP),IDP for invoice processing and 3-way matching. 99% accuracy with automated exception handling.
122,Real-time Spend Dashboard,18,7,Real-time spend analytics dashboard,"Dashboard Platform, Spend Analytics, Real-time Reporting",PT-017,Observability and Monitoring Pattern,Observability for real-time spend analytics dashboards. Business metrics tracking.
123,ERP Integration,18,8,Integration with ERP and P2P systems,"ERP Connector, P2P Integration, System Integration",PT-001,Enterprise AI Governance Platform,Governance integration with ERP/P2P. Procurement compliance audit trails.
124,ML Dispute Classification,19,1,ML classifiers for dispute type identification (commercial vs fraud),"ML Classifier, Dispute Type Detection, Category Model",PT-009,Real-Time ML Scoring Pattern,Real-time dispute classification. Feature Store (PT-003) for transaction and dispute history features.
125,Rule-based Decisioning,19,2,Rule-based decisioning engine for validity assessment aligned with card scheme rules,"Rules Engine, Card Scheme Logic, Decision Framework",PT-009,Real-Time ML Scoring Pattern,Real-time decisioning with card scheme rule validation. Integrates with Explainability (PT-004).
126,RPA Evidence Gathering,19,3,RPA for automated evidence gathering and chargeback filing,"RPA Platform, Evidence Collection, Chargeback Automation",PT-007,Agentic AI Pattern,Agentic AI for autonomous evidence gathering. Tool orchestration across payment systems.
127,GenAI Dispute Response,19,4,GenAI for dispute response generation and customer communication,"LLM API, Dispute Templates, Response Generation",PT-006,Multi-Model Routing,Multi-Model Routing for dispute communication. Customer-facing content optimization.
128,Outcome Forecasting,19,5,Predictive models for outcome forecasting,"Prediction Model, Outcome Analysis, Forecasting Engine",PT-014,Batch Prediction Pattern,Batch prediction for dispute outcome forecasting. MLOps Level 2+ (PT-002) governance.
129,Workflow Automation,19,6,Case management workflow automation,"Workflow Engine, Case Management, Process Automation",PT-007,Agentic AI Pattern,Agentic AI for dispute case workflow automation. Integrates with card network systems.
130,Card Network Integration,19,7,Integration with card networks and core banking systems,"Network Connector, Banking Integration, Payment Systems",PT-015,Event-Driven Architecture,Event-driven integration with card networks. Real-time payment event processing.
131,RPA Test Automation,20,1,RPA for automated test execution across IT and business controls,"RPA Platform, Test Automation, Control Testing",PT-008,Multi-Agent Orchestration,"Multi-Agent with [Test Design Agent], [Execution Agent], [Evidence Agent], [Report Agent]. 60% reduction in manual testing."
132,ML Control Anomaly Detection,20,2,ML models for anomaly detection in control performance and transaction patterns,"Anomaly Detection, Control Monitoring, Pattern Analysis",PT-014,Batch Prediction Pattern,Batch anomaly detection for control monitoring. Observability (PT-017) for dashboards.
133,Risk-based Sampling,20,3,Risk-based sampling algorithms for test selection optimization,"Sampling Algorithm, Risk-based Testing, Test Optimization",PT-014,Batch Prediction Pattern,Batch risk-based sampling optimization. MLOps Level 2+ (PT-002) for model governance.
134,GenAI Test Script Generation,20,4,GenAI for test script generation from control descriptions,"LLM API, Test Script Generator, Control Templates",PT-006,Multi-Model Routing,Multi-Model Routing for test script generation. Integrates with Multi-Agent (PT-008) Test Design Agent.
135,Automated Evidence Collection,20,5,Automated evidence collection and documentation,"Evidence Automation, Document Collection, Audit Trail",PT-007,Agentic AI Pattern,Agentic AI for autonomous evidence collection. IDP (PT-011) for document analysis.
136,Control Monitoring Dashboard,20,6,Dashboard for real-time control effectiveness monitoring,"Dashboard Platform, Control Metrics, Real-time Monitoring",PT-017,Observability and Monitoring Pattern,Observability for continuous controls monitoring dashboards. Real-time effectiveness tracking.
137,GRC System Integration,20,7,Integration with GRC systems and audit management platforms,"GRC Connector, Audit Integration, Platform Integration",PT-001,Enterprise AI Governance Platform,Governance integration with GRC. Full audit compliance and controls evidence management.
138,AI Financial Spreading,21,1,AI-powered financial spreading and data extraction from unstructured documents,"Document Processing, Financial Extraction, ML Parser",PT-011,Intelligent Document Processing (IDP),IDP for financial statement extraction and spreading. 99% accuracy with validation.
139,Credit Rating ML,21,2,ML models for credit rating calculation and PD/LGD estimation,"Credit Models, PD/LGD Calculation, Rating Engine",PT-009,Real-Time ML Scoring Pattern,Real-time credit rating with Tier 1 governance. Feature Store (PT-003) for credit features. MANDATORY Explainability (PT-004).
140,GenAI Credit Memos,21,3,GenAI for credit memo generation and financial analysis narratives,"LLM API, Credit Templates, Memo Generation",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over underwriting policies and credit memos. Compliance-validated narratives.
141,NLP Covenant Monitoring,21,4,Real-time covenant monitoring using NLP on financial statements,"NLP Framework, Covenant Tracking, Financial Analysis",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for covenant document analysis. Real-time breach detection alerts.
142,Deal Approval Workflow,21,5,Workflow automation for deal approval process,"Workflow Engine, Approval Process, Deal Management",PT-001,Enterprise AI Governance Platform,Governance with Tier 1 approval workflows. Multi-level gates for credit decisions. Full audit trails.
143,Pricing Optimization ML,21,6,Pricing optimization models using market data and risk metrics,"Pricing Model, Optimization Engine, Market Analysis",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger for pricing model validation. Feature Store (PT-003) for market data features.
144,Portfolio Analytics Dashboard,21,7,Portfolio analytics dashboard with stress testing capabilities,"Dashboard Platform, Portfolio Analytics, Stress Testing",PT-017,Observability and Monitoring Pattern,Observability for portfolio analytics dashboards. Stress testing visualization.
145,GenAI Lesson Generation,22,1,GenAI for automated lesson and quiz generation from source materials,"LLM API, Learning Content, Quiz Generation",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over training materials for content retrieval. 80% reduction in content creation time.
146,NLP Content Summarization,22,2,NLP for content summarization and key concept extraction,"NLP Framework, Summarization, Concept Extraction",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for compliance documentation summarization. Key concept extraction.
147,ML Learning Recommendations,22,3,ML recommendation engines for personalized learning path creation,"Recommendation Engine, Learning Paths, Personalization",PT-009,Real-Time ML Scoring Pattern,Real-time learning recommendations. Feature Store (PT-003) for learner profile features.
148,Adaptive Assessment Generation,22,4,Automated assessment generation with adaptive difficulty,"Assessment Engine, Adaptive Learning, Difficulty Algorithm",PT-007,Agentic AI Pattern,Agentic AI for autonomous curriculum design. Adaptive difficulty based on learner performance.
149,Text-to-Media Generation,22,5,Text-to-video/image generation for visual content,"Generative AI, Media Creation, Visual Content",PT-006,Multi-Model Routing,Multi-Model Routing for multi-modal content generation. Cost optimization across modalities.
150,Learning Analytics,22,6,Learner analytics for content effectiveness optimization,"Analytics Platform, Learning Metrics, Effectiveness Tracking",PT-017,Observability and Monitoring Pattern,Observability for learning effectiveness analytics. Learner engagement tracking.
151,LMS Integration,22,7,Integration with LMS platforms for seamless delivery,"LMS Connector, Learning Platform, Content Delivery",PT-001,Enterprise AI Governance Platform,Governance for content compliance validation. Learning audit trails.
152,Payment Propensity ML,23,1,ML models for payment propensity scoring and default prediction,"Propensity Model, Default Prediction, Payment Scoring",PT-014,Batch Prediction Pattern,Batch prediction for payment propensity scoring. Feature Store (PT-003) for payment behavior features.
153,Optimization Algorithms,23,2,Optimization algorithms for account prioritization and resource allocation,"Optimization Engine, Prioritization, Resource Allocation",PT-009,Real-Time ML Scoring Pattern,Real-time prioritization scoring. Dynamic resource allocation optimization.
154,Reinforcement Learning,23,3,Reinforcement learning for contact strategy optimization,"RL Framework, Strategy Optimization, Contact Timing",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger for contact strategy testing. RL for continuous optimization.
155,GenAI Personalized Communication,23,4,GenAI for personalized communication generation,"LLM API, Communication Templates, Personalization",PT-006,Multi-Model Routing,Multi-Model Routing for personalized collection communications. Compliance-validated content.
156,Settlement Offer ML,23,5,Predictive models for optimal settlement offer calculation,"Prediction Model, Offer Optimization, Settlement Calculation",PT-014,Batch Prediction Pattern,Batch prediction for settlement offer optimization. MLOps Level 2+ (PT-002) governance.
157,Customer Segmentation ML,23,6,Customer segmentation using clustering algorithms,"Clustering Algorithm, Segmentation, Customer Groups",PT-014,Batch Prediction Pattern,Batch clustering for customer segmentation. Feature Store (PT-003) for customer features.
158,Debt Management Integration,23,7,Integration with debt management systems and communication channels,"Debt System Connector, Channel Integration, Communication Platform",PT-001,Enterprise AI Governance Platform,Governance for debt collection compliance. Regulatory audit trails.
159,GenAI Campaign Strategy,24,1,GenAI for automated campaign strategy generation based on micro-segment analysis,"LLM API, Campaign Planning, Segment Strategy",PT-006,Multi-Model Routing,Multi-Model Routing for campaign strategy generation. Cost optimization via intelligent routing.
160,LLM Content Variants,24,2,LLM-powered content variant creation for different personas and segments,"LLM API, Content Variants, Persona Targeting",PT-006,Multi-Model Routing,Multi-Model Routing for content variant generation. A/B testing with Champion/Challenger (PT-010).
161,Computer Vision Image AI,24,3,Computer vision and GenAI for image recommendation and generation,"Computer Vision, Image Generation, Visual AI",PT-006,Multi-Model Routing,Multi-Model Routing for multi-modal content. Image generation with content compliance.
162,Real-time Personalization,24,4,Real-time personalization engine with contextual triggers,"Personalization Engine, Context Processing, Trigger Management",PT-009,Real-Time ML Scoring Pattern,Real-time personalization with <500ms latency. Event-Driven (PT-015) for contextual triggers.
163,ML Variant Optimization,24,5,A/B testing framework with ML-based variant optimization,"A/B Testing, Variant Optimization, Statistical Analysis",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger with statistical optimization. MLOps Level 2+ (PT-002) for experiment tracking.
164,Deep Learning Recommendations,24,6,Deep learning recommendation models for product suggestions,"Deep Learning, Product Recommendations, Neural Networks",PT-009,Real-Time ML Scoring Pattern,Real-time deep learning recommendations. Feature Store (PT-003) for user interaction features.
165,Mobile SDK Integration,24,7,Integration with mobile app SDK and CDP for seamless delivery,"Mobile SDK, CDP Integration, App Integration",PT-015,Event-Driven Architecture,Event-driven mobile integration. Stream Processing (PT-016) for real-time behavioral aggregation.
