interface_id,solution_interface_id,use_case_id,use_case_name,source_abb_id,source_abb_name,source_layer,target_abb_id,target_abb_name,target_layer,interface_name,interface_description,datasets_exchanged,protocol,data_format,frequency,direction,security,authentication,volume,sla_requirement,error_handling,integration_pattern,primary_pattern_id,primary_pattern_name,pattern_interface_requirements
70,11,5,Lending Ops,74,Summarization,AI/ML Services Layer,75,Compliance Templates,Application Services Layer,Summary Output,Delivers generated summaries for compliance documentation,"Executive summaries, Key points, Risk flags",REST API,JSON,On-demand,Unidirectional,OAuth 2.0,Bearer Token,Medium,<500ms,Store summary,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
71,12,5,Lending Ops,75,Compliance Templates,Application Services Layer,76,RPA Platform,Application Services Layer,Template Data,Provides compliance templates to RPA for workflow automation,"Template definitions, Compliance rules, Validation criteria",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Low,<1s,Cache templates,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
72,13,5,Lending Ops,76,RPA Platform,Application Services Layer,77,Workflow Engine,Application Services Layer,RPA Tasks,Triggers automated workflow tasks via RPA,"Task definitions, Input data, Execution parameters",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Service Account,High,<500ms,Queue for retry,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
73,14,5,Lending Ops,77,Workflow Engine,Application Services Layer,78,Process Automation,Application Services Layer,Workflow Orchestration,Orchestrates lending operations process automation,"Workflow state, Task status, Process variables",Event Stream,JSON,Real-time,Bidirectional,TLS 1.3,Service Account,High,<200ms,Compensating transaction,Event-Driven,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
74,15,5,Lending Ops,78,Process Automation,Application Services Layer,79,Workflow Routing,Application Services Layer,Automation Status,Reports automation status for exception routing decisions,"Completion status, Error details, Process metrics",Event Stream,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,High,<100ms,Alert on failure,Event-Driven,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
75,16,5,Lending Ops,79,Workflow Routing,Application Services Layer,80,Human Task Management,Presentation Layer,Exception Cases,Routes exceptional loan cases to human task management,"Case details, Exception type, Priority, Context",REST API,JSON,Real-time,Unidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Queue case,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
76,17,5,Lending Ops,80,Human Task Management,Presentation Layer,81,Exception Queue,Application Services Layer,Task Assignment,Assigns tasks requiring human judgment to exception queue,"Task details, Assignee, Due date, Work items",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<500ms,Auto-assign,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
77,18,5,Lending Ops,81,Exception Queue,Application Services Layer,77,Workflow Engine,Application Services Layer,Resolution Update,Updates workflow with human task resolution,"Resolution data, Decision, Updated fields, Approval status",REST API,JSON,On-demand,Unidirectional,OAuth 2.0,Service Account,Low,<1s,Retry 3x,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
78,1,6,HyperPersonalization,82,CDP,Data & Knowledge Layer,83,Customer 360,Data & Knowledge Layer,Customer Data Sync,Synchronizes unified customer data across CDP components,"Customer profiles, Attributes, Segments, Consent",Batch,Parquet,Hourly,Unidirectional,TLS 1.3,Service Account,High,<10min,Incremental sync,Batch Load,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
79,2,6,HyperPersonalization,83,Customer 360,Data & Knowledge Layer,84,Data Integration,Integration Layer,Profile Request,Requests complete customer profiles for personalization,"Customer IDs, Profile queries, Attribute filters",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,API Key,Very High,<50ms,Cache profiles,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
80,3,6,HyperPersonalization,84,Data Integration,Integration Layer,85,Recommendation Engine,AI/ML Services Layer,Customer Context,Provides customer context for recommendation generation,"Customer profile, Interaction history, Product holdings",REST API,JSON,Real-time,Unidirectional,mTLS,Certificate,Very High,<100ms,Default recommendations,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
81,4,6,HyperPersonalization,85,Recommendation Engine,AI/ML Services Layer,86,Collaborative Filtering,AI/ML Services Layer,Recommendation Request,Requests collaborative filtering recommendations,"User ID, Item history, Context, Filters",REST API,JSON,Real-time,Bidirectional,API Key,Token-based,Very High,<50ms,Popular items fallback,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
82,5,6,HyperPersonalization,86,Collaborative Filtering,AI/ML Services Layer,87,Deep Learning,AI/ML Services Layer,CF Results,Provides collaborative filtering results for deep learning enhancement,"Recommendations, Scores, User-item matrix",REST API,JSON,Real-time,Unidirectional,mTLS,Certificate,Very High,<50ms,Use CF only,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
83,6,6,HyperPersonalization,87,Deep Learning,AI/ML Services Layer,85,Recommendation Engine,AI/ML Services Layer,DL Recommendations,Delivers deep learning personalized recommendations,"Recommendations, Confidence, Explanation features",REST API,JSON,Real-time,Unidirectional,mTLS,Certificate,Very High,<100ms,Fallback model,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
84,7,6,HyperPersonalization,85,Recommendation Engine,AI/ML Services Layer,88,LLM API,AI/ML Services Layer,Personalization Context,Provides recommendations context for content generation,"Recommended items, Customer profile, Context",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<500ms,Use template,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
85,8,6,HyperPersonalization,88,LLM API,AI/ML Services Layer,89,Content Generation,AI/ML Services Layer,Generation Request,Requests personalized content generation from LLM,"Prompts, Recommendations, Personalization parameters",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<2s,Template fallback,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
86,9,6,HyperPersonalization,89,Content Generation,AI/ML Services Layer,90,Personalization Engine,Application Services Layer,Generated Content,Delivers AI-generated personalized content,"Marketing copy, Offers, Messages, Images",REST API,JSON,Real-time,Unidirectional,OAuth 2.0,Bearer Token,High,<1s,Cache content,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
87,10,6,HyperPersonalization,90,Personalization Engine,Application Services Layer,91,Decisioning Engine,Application Services Layer,Personalized Offers,Sends personalized offers for real-time decisioning,"Offers, Content, Targeting rules, Priority",REST API,JSON,Real-time,Unidirectional,OAuth 2.0,API Key,Very High,<100ms,Default offer,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
88,11,6,HyperPersonalization,91,Decisioning Engine,Application Services Layer,92,Event Processing,Integration Layer,Decision Request,Requests real-time decision based on customer event,"Customer event, Context, Available offers, Constraints",Event Stream,JSON,Real-time,Bidirectional,TLS 1.3,Service Account,Very High,<50ms,Default decision,Event-Driven,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
89,12,6,HyperPersonalization,92,Event Processing,Integration Layer,93,Context Evaluation,Application Services Layer,Event Context,Provides processed event context for evaluation,"Event type, Customer state, Session data, Behavioral signals",Event Stream,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,Very High,<20ms,Partial context,Streaming,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
90,13,6,HyperPersonalization,93,Context Evaluation,Application Services Layer,94,Multi-Armed Bandit,AI/ML Services Layer,Context Score,Sends context evaluation for bandit optimization,"Context features, Customer segment, Current state",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,Very High,<50ms,Random selection,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
91,14,6,HyperPersonalization,94,Multi-Armed Bandit,AI/ML Services Layer,95,Offer Optimization,AI/ML Services Layer,Bandit Selection,Provides bandit algorithm offer selection,"Selected offer, Exploration flag, Reward estimate",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,Very High,<30ms,Best offer,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
92,15,6,HyperPersonalization,95,Offer Optimization,AI/ML Services Layer,96,Experiment Design,Application Services Layer,Optimization Results,Delivers optimized offer selection for experimentation,"Offer ID, Variant, Test group, Optimization score",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,Very High,<50ms,Control group,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
93,16,6,HyperPersonalization,96,Experiment Design,Application Services Layer,97,Journey Orchestration,Application Services Layer,Experiment Assignment,Assigns customers to experiments in journey orchestration,"Experiment ID, Variant, Customer ID, Journey step",REST API,JSON,Real-time,Unidirectional,OAuth 2.0,Service Account,High,<100ms,Default journey,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
94,17,6,HyperPersonalization,97,Journey Orchestration,Application Services Layer,98,Campaign Management,Application Services Layer,Journey Execution,Executes personalized campaigns within customer journeys,"Campaign details, Schedule, Targets, Content",REST API,JSON,Scheduled,Bidirectional,OAuth 2.0,Service Account,High,<1s,Queue campaign,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
95,18,6,HyperPersonalization,98,Campaign Management,Application Services Layer,99,Channel Coordination,Application Services Layer,Campaign Distribution,Coordinates campaign distribution across channels,"Message content, Channel preferences, Timing, Frequency caps",REST API,JSON,Real-time,Unidirectional,OAuth 2.0,Service Account,High,<500ms,Queue delivery,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
96,19,6,HyperPersonalization,99,Channel Coordination,Application Services Layer,90,Personalization Engine,Application Services Layer,Delivery Feedback,Reports channel delivery status for personalization optimization,"Delivery status, Engagement metrics, Channel performance",Event Stream,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,High,<200ms,Log metrics,Event-Driven,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
97,20,6,HyperPersonalization,90,Personalization Engine,Application Services Layer,100,A/B Testing,Application Services Layer,Test Variants,Sends personalization variants for A/B testing,"Variant definitions, Control group, Success metrics",REST API,JSON,On-demand,Unidirectional,OAuth 2.0,Service Account,Medium,<1s,Skip testing,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
98,21,6,HyperPersonalization,100,A/B Testing,Application Services Layer,101,Experiment Management,Application Services Layer,Test Execution,Manages A/B test execution and tracking,"Test configuration, Assignments, Tracking IDs",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Service Account,High,<500ms,Default variant,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
99,22,6,HyperPersonalization,101,Experiment Management,Application Services Layer,102,Statistical Analysis,Application Services Layer,Test Results,Provides experiment results for statistical analysis,"Test metrics, Sample sizes, Conversion data",Batch,CSV,Daily,Unidirectional,TLS 1.3,Service Account,Low,<1hr,Queue analysis,Batch Load,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
100,23,6,HyperPersonalization,102,Statistical Analysis,Application Services Layer,95,Offer Optimization,AI/ML Services Layer,Analysis Insights,Feeds statistical insights to offer optimization,"Test winners, Significance, Confidence intervals",REST API,JSON,Daily,Unidirectional,API Key,Service Account,Low,<5min,Manual review,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
101,12,1,FrontLine - Partnership Banking,395,RM Dashboard,Presentation Layer,12,Notification Service,Application Services Layer,User Actions,Relationship managers interact with AI-generated insights and trigger notification workflows,"User requests, Filter criteria, Action triggers, Dashboard interactions",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<500ms,Retry 3x,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
102,14,2,Finance,27,Visualization Service,Presentation Layer,15,Agent Framework,Application Services Layer,Visualization Requests,Users request financial data visualizations triggering AI agent data access,"Visualization parameters, Data queries, User preferences, Chart specifications",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<1s,Retry 3x,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
103,18,3,Analytics and Reporting,379,Analytics Dashboard,Presentation Layer,39,Insight Templates,Application Services Layer,Dashboard Interactions,Users interact with analytics dashboard to generate templated insights,"User queries, Dashboard filters, Selected metrics, Insight requests",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<500ms,Retry 3x,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
104,19,4,Credit Risk,380,Credit Decision Interface,Presentation Layer,53,Credit Templates,Application Services Layer,Credit Decision Actions,Credit officers use interface to generate credit decision documents from templates,"Decision inputs, Borrower data, Template selections, Officer comments",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
105,24,6,HyperPersonalization,381,Customer Portal,Presentation Layer,90,Personalization Engine,Application Services Layer,Customer Interactions,Customers interact with personalized content triggering personalization workflows,"User actions, Preferences, Click events, Engagement data",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Very High,<200ms,Cache interactions,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
106,1,7,Contact Centre,108,Agent Interface,Presentation Layer,107,Context Retrieval,Application Services Layer,Agent Queries,Contact center agents query for customer context during interactions,"Agent queries, Customer ID, Call context, Search terms",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Very High,<300ms,Cache results,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
107,1,8,Security AI,382,Security Dashboard,Presentation Layer,129,Event Correlation,Application Services Layer,Security Analyst Actions,Security analysts interact with dashboard to investigate correlated security events,"Analyst queries, Investigation actions, Event filters, Alert acknowledgments",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<500ms,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
108,1,9,Data Products,144,Lineage Graph,Presentation Layer,141,Quality Rules,Application Services Layer,Lineage Navigation,Users navigate data lineage to review quality rules and validations,"Lineage queries, Node selections, Quality checks, Rule requests",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-012,Data Mesh Pattern,2025: Data product API. Schema registry. Quality metrics endpoint.
109,1,10,SDLC,383,Developer Portal,Presentation Layer,149,Review Automation,Application Services Layer,Code Review Requests,Developers submit code for AI-powered automated review through portal,"Code changes, Pull requests, Review configurations, Developer comments",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<1s,Queue for review,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
110,1,11,Fincrime,176,Collaboration Tools,Presentation Layer,168,Alert Generation,Application Services Layer,Investigation Actions,Investigators collaborate on alerts generated by ML transaction monitoring,"Investigation notes, Case status, Alert acknowledgments, Investigator assignments",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
111,1,12,QA/QC,384,Quality Dashboard,Presentation Layer,177,Test Execution,Application Services Layer,Test Management,QA teams manage and trigger automated test execution from dashboard,"Test configurations, Execution requests, Result queries, Test schedules",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<500ms,Queue tests,Request/Response,PT-014,Batch Prediction Pattern,2025: Batch scheduling API. Progress tracking. Result pagination.
112,1,13,Fraud Ops,385,Fraud Investigation Dashboard,Presentation Layer,194,Rule Engine,Application Services Layer,Fraud Investigation,Fraud investigators review rule-based detection results and manage cases,"Case actions, Investigation notes, Rule adjustments, Fraud confirmations",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<500ms,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
113,1,14,Onboarding,386,Onboarding Portal,Presentation Layer,218,AML Screening,Application Services Layer,Customer Onboarding,Customers submit onboarding information triggering automated AML screening,"Customer data, KYC documents, Identity verification, Consent forms",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<2s,Retry 3x,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
114,1,15,Risk Functions,235,Risk Dashboard,Presentation Layer,224,Scenario Analysis,Application Services Layer,Risk Analysis,Risk analysts interact with dashboard to perform scenario analysis,"Scenario parameters, Risk metrics, Analysis requests, Report configurations",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-004,ML Model Explainability,2025: SHAP/LIME API integration. Explanation caching. Audit logging.
115,1,16,IT Ops,387,Operations Dashboard,Presentation Layer,243,Capacity Planning,Application Services Layer,Operations Management,IT operations teams use dashboard to manage capacity planning activities,"Infrastructure metrics, Capacity requests, Planning parameters, Alert configurations",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<500ms,Retry 3x,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
116,1,17,FrontLine CIB,388,CIB Banker Portal,Presentation Layer,255,Document Retrieval,Application Services Layer,Deal Research,CIB bankers search for deal precedents and market data through portal,"Search queries, Document filters, Deal criteria, Banker requests",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<1s,Retry 3x,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
117,1,18,Procurement,389,Procurement Portal,Presentation Layer,271,Agentic AI Orchestration,Application Services Layer,Procurement Actions,Procurement teams trigger AI agent workflows for vendor matching and analysis,"Procurement requests, RFP details, Vendor criteria, Contract parameters",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<2s,Queue request,Request/Response,PT-008,Multi-Agent Orchestration,2025: Agent coordination protocol. Message queue. Task state tracking.
118,1,19,Payment Disputes,390,Disputes Dashboard,Presentation Layer,284,Priority Assignment,Application Services Layer,Dispute Management,Dispute resolution teams manage cases with ML-based priority assignments,"Case updates, Resolution actions, Priority overrides, Team assignments",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
119,1,20,Controls Testing,391,Testing Dashboard,Presentation Layer,299,Coverage Analysis,Application Services Layer,Control Testing,Auditors and controllers analyze control coverage and manage testing,"Coverage requests, Test case selections, Analysis parameters, Audit queries",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
120,1,21,Wholesale Underwriting,392,Underwriting Workstation,Presentation Layer,317,Ratio Calculation,Application Services Layer,Underwriting Analysis,Wholesale underwriters perform financial spreading and ratio analysis,"Financial statements, Calculation requests, Borrower data, Analysis parameters",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<1s,Retry 3x,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
121,1,22,Learning Content,393,Learning Portal,Presentation Layer,337,Personalization Engine,Application Services Layer,Learning Interactions,Learners interact with personalized learning content and assessments,"Learning progress, Preferences, Assessment results, Content requests",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<500ms,Cache content,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
122,1,23,Collection Management,394,Collections Dashboard,Presentation Layer,353,Channel Selection,Application Services Layer,Collection Actions,Collection agents use dashboard to execute AI-generated collection strategies,"Debtor selections, Communication triggers, Channel preferences, Collection notes",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<500ms,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
123,1,24,Front-end App Personalisation,367,UI Personalization,Presentation Layer,369,Feature Prioritization,Application Services Layer,UI Customization,Application captures user interactions to drive dynamic UI personalization,"User interactions, Feature usage, Preference changes, UI events",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Very High,<100ms,Buffer events,Request/Response,PT-006,Multi-Model Routing,2025: Model router with semantic classification. Fallback model chain.
124,2,7,Contact Centre,107,Context Retrieval,Application Services Layer,115,LLM API,AI/ML Services Layer,Context Retrieval to LLM API,Request AI processing: LLM API,AI Request data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
125,3,7,Contact Centre,117,Documentation,Application Services Layer,109,NLP Framework,AI/ML Services Layer,Documentation to NLP Framework,Request AI processing: NLP Framework,AI Request data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
126,4,7,Contact Centre,117,Documentation,Application Services Layer,110,Emotion Detection,AI/ML Services Layer,Documentation to Emotion Detection,Request AI processing: Emotion Detection,AI Request data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
127,5,7,Contact Centre,115,LLM API,AI/ML Services Layer,109,NLP Framework,AI/ML Services Layer,LLM API to NLP Framework,Chain processing: LLM API to NLP Framework,Processing data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
128,6,7,Contact Centre,109,NLP Framework,AI/ML Services Layer,110,Emotion Detection,AI/ML Services Layer,NLP Framework to Emotion Detection,Chain processing: NLP Framework to Emotion Detection,Processing data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
129,7,7,Contact Centre,110,Emotion Detection,AI/ML Services Layer,111,Sentiment Scoring,AI/ML Services Layer,Emotion Detection to Sentiment Scoring,Chain processing: Emotion Detection to Sentiment Scoring,Processing data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
130,8,7,Contact Centre,103,Knowledge Management,Data & Knowledge Layer,115,LLM API,AI/ML Services Layer,Knowledge Management to LLM API,Provide data context from Knowledge Management,Data data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
131,9,7,Contact Centre,116,Call Summarization,AI/ML Services Layer,117,Documentation,Application Services Layer,Call Summarization to Documentation,Return AI results to Documentation,Response data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
132,10,7,Contact Centre,117,Documentation,Application Services Layer,108,Agent Interface,Presentation Layer,Documentation to Agent Interface,Display results in Agent Interface,UI Update data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-013,Conversational AI Pattern,2025: WebSocket for streaming. Session state. Multi-turn context.
133,2,8,Security AI,129,Event Correlation,Application Services Layer,121,ML Ensemble,AI/ML Services Layer,Event Correlation to ML Ensemble,Request AI processing: ML Ensemble,AI Request data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
134,3,8,Security AI,130,Playbook Engine,Application Services Layer,122,Behavioral Baselines,AI/ML Services Layer,Playbook Engine to Behavioral Baselines,Request AI processing: Behavioral Baselines,AI Request data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
135,4,8,Security AI,131,Automation Engine,Application Services Layer,123,Anomaly Scoring,AI/ML Services Layer,Automation Engine to Anomaly Scoring,Request AI processing: Anomaly Scoring,AI Request data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
136,5,8,Security AI,121,ML Ensemble,AI/ML Services Layer,122,Behavioral Baselines,AI/ML Services Layer,ML Ensemble to Behavioral Baselines,Chain processing: ML Ensemble to Behavioral Baselines,Processing data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
137,6,8,Security AI,122,Behavioral Baselines,AI/ML Services Layer,123,Anomaly Scoring,AI/ML Services Layer,Behavioral Baselines to Anomaly Scoring,Chain processing: Behavioral Baselines to Anomaly Scoring,Processing data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
138,7,8,Security AI,123,Anomaly Scoring,AI/ML Services Layer,124,User & Entity Behavior Analytics (UEBA),AI/ML Services Layer,Anomaly Scoring to User & Entity Behavior Analytics (UEBA),Chain processing: Anomaly Scoring to User & Entity Behavior Analytics (UEBA),Processing data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
139,8,8,Security AI,118,Threat Intelligence,Data & Knowledge Layer,121,ML Ensemble,AI/ML Services Layer,Threat Intelligence to ML Ensemble,Provide data context from Threat Intelligence,Data data,REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Retry 3x,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
