ID,Name,Description,Use Cases,Direction,Source,Destination,Volume,Frequency,Format,Interface Status,BIAN Domain
DS-177,Access Records,User access and privilege information,UC-020,Input,IAM Systems,AI Platform,Very large,Real-time,JSON,Requires Work,Cross Channel
DS-178,Historical Test Results,Prior control test outcomes,UC-020,Input,Audit Platform,AI Platform,Large,Batch monthly,JSON,Requires Work,Non-IT and Non-HR Enterprise Services
DS-179,Control Alerts,Real-time control failure and effectiveness alerts,UC-020,Output,AI Platform,GRC Dashboard,Streaming,Real-time,JSON,Requires Work,Regulations and Compliance
DS-180,Audit Reports,Automated audit documentation and summaries,UC-020,Output,AI Platform,Audit Repository,Large,Monthly,PDF/JSON,Requires Work,Non-IT and Non-HR Enterprise Services
DS-181,Evidence Packages,Organized evidence collections for audits,UC-020,Output,AI Platform,Evidence Management,Large,On-demand,ZIP/PDF,Requires Work,Non-IT and Non-HR Enterprise Services
DS-182,Corporate Documents,Legal structures and ownership information,UC-021,Input,Company Registries,AI Platform,Large,On-demand,PDF,Requires Work,Party
DS-183,Credit Applications,Loan requests and supporting documentation,UC-021,Input,Lending Platform,AI Platform,Large,Real-time,JSON,Requires Work,Trade Banking
DS-184,Credit Policies,Underwriting policies and guidelines,UC-021,Input,Policy Repository,AI Platform,Large,Batch quarterly,PDF/Text,Requires Work,Trade Banking
DS-185,Historical Deals,Precedent transactions and outcomes,UC-021,Input,Credit Archive,AI Platform,Very large,Batch monthly,JSON,Requires Work,Trade Banking
DS-186,Spread Financials,Structured financial data with ratios,UC-021,Output,AI Platform,Credit System,Large,On-demand,JSON,Requires Work,Trade Banking
DS-187,Credit Scores ML,ML-based credit risk assessments,UC-021,Output,AI Platform,Risk Management,Large,On-demand,JSON,Requires Work,Models
DS-188,Structure Maps,Corporate ownership visualizations,UC-021,Output,AI Platform,Credit Dashboard,Large,On-demand,JSON/Graph,Requires Work,Party
DS-189,Risk Reports,Credit risk analysis and recommendations,UC-021,Output,AI Platform,Credit Committee,Large,On-demand,PDF,Requires Work,Trade Banking
DS-190,Policy Documents,Policies procedures and regulations,UC-022,Input,Policy Repository,AI Platform,Large,Batch quarterly,PDF/Word,Requires Work,Knowledge and Intellectual Property
DS-191,Learner Profiles,Employee roles skills and development plans,UC-022,Input,HR Systems,AI Platform,Large,Batch daily,JSON via API,Requires Work,Human Resource Management
DS-192,Learning Activity,Course interactions assessments and progress,UC-022,Input,LMS Platform,AI Platform,Very large,Real-time,JSON,Requires Work,Human Resource Management
DS-193,Competency Frameworks,Skills taxonomy and role requirements,UC-022,Input,Talent Management,AI Platform,Large,Batch quarterly,JSON,Requires Work,Human Resource Management
DS-194,Subject Matter Content,Expert-created materials and resources,UC-022,Input,Content Library,AI Platform,Large,On-demand,Various,Requires Work,Knowledge and Intellectual Property
DS-195,Assessment Results,Quiz scores test outcomes and certifications,UC-022,Input,Assessment Engine,AI Platform,Large,Real-time,JSON,Requires Work,Human Resource Management
DS-196,Learning Content,AI-generated courses and materials,UC-022,Output,AI Platform,LMS Platform,Large,On-demand,SCORM/xAPI,Requires Work,Human Resource Management
DS-197,Learning Paths,Personalized curriculum recommendations,UC-022,Output,AI Platform,LMS Platform,Large,Real-time,JSON,Requires Work,Human Resource Management
DS-198,Assessments Generated,AI-generated quizzes and tests,UC-022,Output,AI Platform,Assessment Engine,Large,On-demand,JSON,Requires Work,Human Resource Management
DS-199,Skills Data,Competency assessments and gap analysis,UC-022,Output,AI Platform,Talent Management,Large,Daily,JSON via API,Requires Work,Human Resource Management
DS-200,Analytics Reports Learning,Learning effectiveness and ROI metrics,UC-022,Output,AI Platform,Dashboard,Large,Weekly,JSON,Requires Work,Business Analysis
DS-201,Account Data,Delinquent accounts balances and payment history,UC-023,Input,Collections System,AI Platform,Large,Real-time,JSON via API,Requires Work,Collateral Administration
DS-202,Contact History,Previous collection attempts and outcomes,UC-023,Input,Dialer/Collections,AI Platform,Very large,Real-time,JSON,Requires Work,Collateral Administration
DS-203,Payment Transactions,Payment receipts and broken promises,UC-023,Input,Payment Systems,AI Platform,Very large,Real-time,JSON via API,Requires Work,Payments
DS-204,Hardship Applications,Financial hardship requests and documentation,UC-023,Input,Collections Platform,AI Platform,Large,Real-time,Text/PDF,Requires Work,Collateral Administration
DS-205,Economic Indicators,Unemployment inflation and regional data,UC-023,Input,External Sources,AI Platform,Streaming,Daily,JSON,Requires Work,Market Data
DS-206,Work Lists,Prioritized collection cases for agents,UC-023,Output,AI Platform,Collections Platform,Large,Real-time,JSON,Requires Work,Collateral Administration
DS-207,Contact Strategies,Optimal channel timing and frequency recommendations,UC-023,Output,AI Platform,Dialer/Campaign,Large,Real-time,JSON,Requires Work,Collateral Administration
DS-208,Arrangements,Approved payment plans and terms,UC-023,Output,AI Platform,Payment Management,Large,Real-time,JSON,Requires Work,Collateral Administration
DS-209,Forecasts,Recovery predictions and cash flow forecasts,UC-023,Output,AI Platform,Finance/Treasury,Large,Weekly,JSON,Requires Work,Bank Portfolio and Treasury
DS-210,Behavioral Data,App interactions clicks and sessions,UC-024,Input,Mobile Analytics,AI Platform,Very large,Real-time,JSON,Requires Work,Cross Channel
DS-211,Content Library,Messages insights and recommendations,UC-024,Input,Content Management,AI Platform,Large,Batch daily,JSON,Requires Work,Marketing
DS-212,Product Catalog,Product details and eligibility rules,UC-024,Input,Product Systems,AI Platform,Large,Batch daily,JSON,Requires Work,Product Management
DS-213,Context Data,Location time device and session context,UC-024,Input,Mobile App,AI Platform,Very large,Real-time,JSON,Requires Work,Cross Channel
DS-214,Personalization Decisions,Real-time content layout and recommendation decisions,UC-024,Output,AI Platform,Mobile App,Very large,Real-time,JSON,Requires Work,Cross Channel
DS-215,Recommendations,Product and action recommendations with scoring,UC-024,Output,AI Platform,Mobile App,Very large,Real-time,JSON,Requires Work,Marketing
DS-216,Experiment Results,A/B test outcomes and performance metrics,UC-024,Output,AI Platform,Experimentation Platform,Large,Real-time,JSON,Requires Work,Marketing
DS-217,Analytics Data Personalization,Engagement conversion and personalization effectiveness,UC-024,Output,AI Platform,Analytics Dashboard,Large,Real-time,JSON,Requires Work,Business Analysis
