Issue Key,Summary,Issue Type,Parent,Epic Link,Duration (Days),Start Date,End Date,Predecessors,Assignee/Team,Priority,Status,Labels,Components,Story Points,Pattern Dependencies,ABB Dependencies,Use Cases Enabled,Description
W3-PI5-UC10,USE CASE: UC-015 Risk Functions,Epic,W3-PI5,,35,2025-12-29,2026-02-02,W3-F051,Model Services,High,To Do,wave-3 use-case uc-015 regulatory,Model Services,,"PT-005, PT-007, PT-016",,UC-015,Regulatory compliance - operational risk
W3-PI5-UC11,USE CASE: UC-020 Controls Testing,Epic,W3-PI5,,35,2026-01-05,2026-02-09,W3-F049,Platform Services,High,To Do,wave-3 use-case uc-020,Platform Services,,"PT-007, PT-014, PT-016",,UC-020,Audit support - controls automation
W3-PI5-UC12,USE CASE: UC-018 Procurement,Epic,W3-PI5,,35,2026-01-12,2026-02-16,W2-F040,Agent Services,Medium,To Do,wave-3 use-case uc-018,Agent Services,,"PT-005, PT-011",,UC-018,Cost reduction - procurement AI
W3-PI5-UC13,USE CASE: UC-019 Payment Disputes,Epic,W3-PI5,,35,2026-01-19,2026-02-23,W2-F037,Agent Services,High,To Do,wave-3 use-case uc-019,Agent Services,,"PT-007, PT-011, PT-015",,UC-019,Customer experience - dispute resolution
W3-PI5-UC14,USE CASE: UC-023 Collection Management,Epic,W3-PI5,,35,2026-01-26,2026-03-02,W3-F054,Model Services,High,To Do,wave-3 use-case uc-023,Model Services,,"PT-002, PT-008, PT-016",,UC-023,Cost reduction - collections optimization
W3-PI5-M6,MILESTONE: Wave 3a Complete,Milestone,W3-PI5,,0,2026-03-13,2026-03-13,"W3-PI5-UC9, W3-PI5-UC14",All ARTs,High,To Do,wave-3 milestone Q2-FY26,AI Platform,0,,"UC-013, UC-015, UC-018, UC-019, UC-020, UC-023",14 use cases in production - End Q2 FY26
W3-PI6,Program Increment 6 (PI-6),Initiative,W3,,90,2026-03-16,2026-06-12,,All ARTs,High,To Do,wave-3 pi-6 Q3-FY26,AI Platform,,,,,Q3 FY26 - Final Scale Phase
W3-PI6-E14,EPIC: Advanced Knowledge Capabilities,Epic,W3-PI6,,45,2026-03-16,2026-04-29,,Knowledge Services,Medium,To Do,wave-3 knowledge,Knowledge Services,,"PT-019, PT-020",,,Knowledge graph and advanced data capabilities
W3-F055,Knowledge Graph Integration,Story,W3-PI6-E14,W3-PI6-E14,25,2026-03-16,2026-04-09,W3-PI5-M6,Knowledge Services,Medium,To Do,wave-3 knowledge graph,Knowledge Services,13,PT-019,AB-080,,GraphRAG support
W3-F056,Data Lineage Tracker,Story,W3-PI6-E14,W3-PI6-E14,20,2026-03-23,2026-04-11,W3-PI5-M6,Knowledge Services,High,To Do,wave-3 knowledge lineage,Knowledge Services,13,PT-012,AB-070,"UC-002, UC-009, UC-012",Data lineage tracking
W3-F057,Multi-Channel Orchestrator,Story,W3-PI6-E14,W3-PI6-E14,20,2026-04-02,2026-04-21,W3-F055,Agent Services,Medium,To Do,wave-3 knowledge channel,Agent Services,13,PT-013,AB-036,"UC-006, UC-007, UC-003",Multi-channel coordination
W3-F058,Business Metrics Tracker,Story,W3-PI6-E14,W3-PI6-E14,15,2026-04-09,2026-04-23,W3-F056,Platform Services,Medium,To Do,wave-3 knowledge metrics,Platform Services,8,PT-017,AB-103,"UC-006, UC-013, UC-023, UC-024",Business outcome tracking
W3-F059,Fairness Monitoring Engine,Story,W3-PI6-E14,W3-PI6-E14,15,2026-04-16,2026-04-29,W3-F053,Model Services,High,To Do,wave-3 knowledge fairness,Model Services,8,PT-004,AB-046,"UC-006, UC-004",Fairness monitoring
W3-PI6-UC15,USE CASE: UC-002 Finance,Epic,W3-PI6,,40,2026-03-23,2026-05-01,W3-F056,Model Services,High,To Do,wave-3 use-case uc-002 compliance,Model Services,,"PT-002, PT-006, PT-012",,UC-002,Compliance priority - finance AI
W3-PI6-UC16,USE CASE: UC-003 Analytics & Reporting,Epic,W3-PI6,,40,2026-03-30,2026-05-08,W3-F057,Knowledge Services,High,To Do,wave-3 use-case uc-003,Knowledge Services,,"PT-005, PT-013, PT-014",,UC-003,BI enhancement - analytics AI
W3-PI6-UC17,USE CASE: UC-008 Security AI,Epic,W3-PI6,,40,2026-04-06,2026-05-15,W3-PI5-M6,Platform Services,High,To Do,wave-3 use-case uc-008,Platform Services,,"PT-007, PT-015, PT-016",,UC-008,Security operations AI
W3-PI6-UC18,USE CASE: UC-009 Data Products,Epic,W3-PI6,,35,2026-04-13,2026-05-17,W3-F056,Knowledge Services,Medium,To Do,wave-3 use-case uc-009,Knowledge Services,,"PT-005, PT-012",,UC-009,Data platform - data products AI
W3-PI6-UC19,USE CASE: UC-012 QA/QC,Epic,W3-PI6,,35,2026-04-20,2026-05-24,W3-F056,Knowledge Services,Medium,To Do,wave-3 use-case uc-012,Knowledge Services,,"PT-005, PT-007, PT-016",,UC-012,Quality assurance automation
W3-PI6-UC20,USE CASE: UC-016 IT Ops,Epic,W3-PI6,,35,2026-04-27,2026-05-31,W3-PI5-M6,Platform Services,Medium,To Do,wave-3 use-case uc-016,Platform Services,,"PT-005, PT-015, PT-016",,UC-016,IT automation - AIOps
W3-PI6-UC21,USE CASE: UC-017 FrontLine CIB,Epic,W3-PI6,,35,2026-05-04,2026-06-07,W3-F057,Agent Services,Medium,To Do,wave-3 use-case uc-017,Agent Services,,"PT-005, PT-006, PT-007",,UC-017,CIB relationship management AI
W3-PI6-UC22,USE CASE: UC-021 Wholesale Underwriting,Epic,W3-PI6,,40,2026-05-11,2026-06-12,W3-F053,Model Services,High,To Do,wave-3 use-case uc-021,Model Services,,"PT-005, PT-011",,UC-021,Revenue - wholesale lending AI
W3-PI6-UC23,USE CASE: UC-022 Learning Content,Epic,W3-PI6,,30,2026-05-18,2026-06-12,W3-PI5-M6,Knowledge Services,Low,To Do,wave-3 use-case uc-022,Knowledge Services,,"PT-005, PT-007",,UC-022,Internal productivity - learning AI
W3-PI6-UC24,USE CASE: UC-024 App Personalisation,Epic,W3-PI6,,35,2026-05-25,2026-06-12,W3-F058,Model Services,Medium,To Do,wave-3 use-case uc-024,Model Services,,"PT-006, PT-008, PT-009",,UC-024,Customer experience - app personalisation
W3-PI6-M7,MILESTONE: All Use Cases Complete,Milestone,W3,,0,2026-06-12,2026-06-12,"W3-PI6-UC22, W3-PI6-UC24",All ARTs,Highest,To Do,wave-3 milestone critical Q3-FY26,AI Platform,0,,,All 24 UC,24 use cases operational - Platform complete - End Q3 FY26
